name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
007: Quantum of Solace,Activision,"[""PS3"", ""X360"", ""Wii"", ""PC""]",4,2008,Action,1.55,1.31,0.04,0.4,3.3,63.5,140,6.875,199,Treyarch,T
007 Racing,Electronic Arts,"[""PS""]",1,2000,Racing,0.3,0.2,0,0.03,0.53,51,16,4.6,14,Eutechnyx,T
007: The World is not Enough,Electronic Arts,"[""PS""]",1,2000,Action,0.51,0.35,0,0.06,0.92,61,11,6.7,44,Black Ops Entertainment,T
100 Classic Books,Nintendo,"[""DS""]",1,2008,Misc,0.12,0.52,0,0.02,0.66,70,7,6,12,Genius Sonority Inc.,
15 Days,DTP Entertainment,"[""PC""]",1,2009,Adventure,0,0.01,0,0,0.01,63,6,5.8,8,DTP Entertainment,
1701 A.D.,Deep Silver,"[""PC""]",1,2006,Simulation,0,0.25,0,0.04,0.3,79,30,8.3,38,Related Designs,E10+
187: Ride or Die,Ubisoft,"[""XB"", ""PS2""]",2,2005,Racing,0.12000000000000001,0.06999999999999999,0,0.02,0.21,51.5,73,6.85,20,Ubisoft,M
18 Wheeler: American Pro Trucker,Acclaim Entertainment,"[""PS2"", ""GC""]",2,2001,Racing,0.29000000000000004,0.16999999999999998,0,0.05,0.51,56.5,28,6.25,26,Acclaim Studios Cheltenham,E
1 vs. 100,DSI Games,"[""DS""]",1,2008,Misc,0.08,0,0,0.01,0.08,38,5,3.2,5,ECI,E
2002 FIFA World Cup,Electronic Arts,"[""GC"", ""PS2"", ""XB""]",3,2002,Sports,0.39,0.22000000000000003,0.16,0.06999999999999999,0.8300000000000001,76.66666666666667,45,7.433333333333334,28,EA Sports,E
2010 FIFA World Cup South Africa,Electronic Arts,"[""Wii"", ""PS3"", ""PSP"", ""X360""]",4,2010,Sports,0.94,1.43,0.13,0.47,2.96,76,147,7.5,135,EA Canada,E
2014 FIFA World Cup Brazil,Electronic Arts,"[""X360"", ""PS3""]",2,2014,Sports,0.3,0.61,0.01,0.12,1.03,73.5,62,4.35,180,EA Canada,E
24: The Game,Sony Computer Entertainment,"[""PS2""]",1,2006,Adventure,0.15,0.12,0,0.04,0.3,62,53,8.2,40,SCE Studio Cambridge,M
25 to Life,Eidos Interactive,"[""XB"", ""PS2""]",2,2006,Shooter,0.47,0.05,0,0.06999999999999999,0.59,40,43,6.050000000000001,59,"Ritual Entertainment, Avalanche Software",M
300: March to Glory,Warner Bros. Interactive Entertainment,"[""PSP""]",1,2007,Action,0.27,0.08,0,0.07,0.41,55,31,7.1,14,Collision Studios,M
3D Dot Game Heroes,SouthPeak Games,"[""PS3""]",1,2009,Role-Playing,0.36,0.11,0.03,0.07,0.57,77,66,8,96,Silicon Studio,E10+
4x4 EVO 2,Gathering of Developers,"[""XB""]",1,2001,Racing,0.18,0.05,0,0.01,0.24,59,15,6.2,5,Terminal Reality,E
50 Cent: Blood on the Sand,THQ,"[""X360"", ""PS3""]",2,2009,Shooter,0.22,0.13,0.01,0.05,0.4,71.5,91,6.800000000000001,121,Swordfish Studios,M
50 Cent: Bulletproof,Vivendi Games,"[""XB"", ""PS2""]",2,2005,Action,1.18,0.86,0,0.18,2.21,48.5,35,6.25,150,Genuine Games,M
7 Days to Die,Telltale Games,"[""XOne"", ""PS4""]",2,2016,Action,0.07,0.1,0,0.02,0.19,40,33,5.550000000000001,214,The Fun Pimps Entertainment LLC,M
7th Dragon III Code: VFD,Sega,"[""3DS""]",1,2015,Role-Playing,0.04,0,0.12,0,0.17,77,26,8.2,38,Sega,T
7 Wonders of the Ancient World,Funsta,"[""DS""]",1,2007,Puzzle,0.1,0.01,0,0.01,0.13,60,7,8.3,48,Hot Lava Games,E
A Boy and His Blob,Majesco Entertainment,"[""Wii""]",1,2009,Platform,0.18,0.01,0,0.01,0.21,80,43,8.7,35,WayForward,E
Academy of Champions: Soccer,Ubisoft,"[""Wii""]",1,2009,Sports,0.09,0.02,0,0.01,0.12,64,20,6.8,14,Ubisoft Vancouver,E
AC/DC LIVE: Rock Band Track Pack,MTV Games,"[""X360"", ""PS3""]",2,2008,Misc,0.42,0.01,0,0.04,0.47,61.5,28,5.1,24,Harmonix Music Systems,T
Ace Attorney Investigations: Miles Edgeworth,Capcom,"[""DS""]",1,2009,Adventure,0.23,0.14,0.3,0.04,0.7,78,51,8.4,79,Capcom,T
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,"[""PS2""]",1,2001,Simulation,2.06,0.56,0.38,0.17,3.17,89,22,9.1,95,Namco,E
Ace Combat 2,Sony Computer Entertainment,"[""PS""]",1,1997,Simulation,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22,Namco,T
Ace Combat 5: The Unsung War,Sony Computer Entertainment Europe,"[""PS2""]",1,2004,Simulation,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
Ace Combat 6: Fires of Liberation,Atari,"[""X360""]",1,2007,Simulation,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces,T
